赛事,时间,主队,比分,客队,赛果,平均欧指胜,平均欧指平,平均欧指败,澳门盘口,盘路,大小
德甲,2017/2/12,沙尔克,"2:0
                                                                                    	 (1:0)",赫  塔,胜,1.79,3.49,4.79,半球/一球,赢,小
德国杯,2017/2/9,桑德豪,"1:4
                                                                                    	 (0:3)",沙尔克,胜,4.48,3.48,1.79,受半球,赢,大
德甲,2017/2/4,拜  仁,"1:1
                                                                                    	 (1:1)",沙尔克,平,1.21,6.45,13.17,球半/两球,赢,小
德甲,2017/1/28,沙尔克,"0:1
                                                                                    	 (0:1)",法兰克,负,1.74,3.55,5.08,半球/一球,输,小
德甲,2017/1/21,沙尔克,"1:0
                                                                                    	 (0:0)",因戈尔,胜,1.83,3.44,4.55,半球,赢,小
球会友谊,2017/1/14,克姆尼茨,"2:1
                                                                                    	 (2:0)",沙尔克,负,6.63,4.31,1.4,NULL,输,大
球会友谊,2017/1/10,沙尔克,"2:1
                                                                                    	 (1:1)",奥斯坦,胜,1.51,3.98,5.46,一球,走盘,大
德甲,2016/12/21,汉  堡,"2:1
                                                                                    	 (0:0)",沙尔克,负,3.07,3.27,2.35,受平手/半球,输,大
德甲,2017/5/20,赫  塔,"2:6
                                                                                    	 (0:3)",勒  沃,胜,2.1,3.51,3.39,平手/半球,赢,大
德甲,2017/5/13,勒  沃,"2:2
                                                                                    	 (0:1)",科  隆,平,2.1,3.42,3.46,平手/半球,输半,大
德甲,2017/5/6,因戈尔,"1:1
                                                                                    	 (0:0)",勒  沃,平,2.41,3.45,2.86,平手/半球,赢半,小
德甲,2017/4/29,勒  沃,"1:4
                                                                                    	 (0:3)",沙尔克,负,2.2,3.44,3.22,平手/半球,输,大
德甲,2017/4/23,弗赖堡,"2:1
                                                                                    	 (1:0)",勒  沃,负,3.44,3.43,2.1,受半球,输,大
德甲,2017/4/16,勒  沃,"0:0
                                                                                    	 (0:0)",拜  仁,平,4.73,3.9,1.7,受半球/一球,赢,小
德甲,2017/4/8,莱比锡,"1:0
                                                                                    	 (0:0)",勒  沃,负,1.91,3.66,3.87,半球,输,小
德甲,2017/4/6,达姆施,"0:2
                                                                                    	 (0:1)",勒  沃,胜,4.84,3.9,1.69,受半球/一球,赢,小
德甲,2017/4/2,勒  沃,"3:3
                                                                                    	 (1:0)",沃尔夫,平,1.9,3.58,4.03,半球,输,大
德甲,2017/3/18,霍  芬,"1:0
                                                                                    	 (0:0)",勒  沃,负,2.04,3.59,3.49,半球,输,小
欧冠,2017/3/16,马竞技,"0:0
                                                                                    	 (0:0)",勒  沃,平,1.53,4.31,6.16,一球,赢,小
德甲,2017/3/11,勒  沃,"1:1
                                                                                    	 (1:0)",不来梅,平,1.53,4.35,5.94,一球,输,小
德甲,2017/3/4,多  特,"6:2
                                                                                    	 (2:0)",勒  沃,负,1.44,4.73,6.93,一球/球半,输,大
德甲,2017/2/25,勒  沃,"0:2
                                                                                    	 (0:2)",美因茨,负,1.68,3.82,5.08,半球/一球,输,小
欧冠,2017/2/22,勒  沃,"2:4
                                                                                    	 (0:2)",马竞技,负,3.04,3.08,2.55,平手,输,大
德甲,2017/2/18,奥格斯,"1:3
                                                                                    	 (0:2)",勒  沃,胜,3.27,3.26,2.26,受平手/半球,赢,大
德甲,2017/2/11,勒  沃,"3:0
                                                                                    	 (1:0)",法兰克,胜,1.86,3.45,4.36,半球,赢,大
德甲,2017/2/4,汉  堡,"1:0
                                                                                    	 (0:0)",勒  沃,负,3.3,3.37,2.19,受平手/半球,输,小
德甲,2017/1/29,勒  沃,"2:3
                                                                                    	 (2:0)",门  兴,负,1.82,3.65,4.31,半球/一球,输,大
德甲,2017/1/22,勒  沃,"3:1
                                                                                    	 (2:1)",赫  塔,胜,1.76,3.53,4.86,半球,赢,大
球会友谊,2017/1/17,勒  沃,"2:1
                                                                                    	 (1:0)",波  鸿,胜,1.39,4.54,6.53,一球,走盘,大
球会友谊,2017/1/12,勒  沃,"1:0
                                                                                    	 (0:0)",米内罗,胜,1.29,5.27,8.1,球半,输,小
球会友谊,2017/1/9,大学生,"1:1
                                                                                    	 (1:0)",勒  沃,平,4.11,3.32,1.82,受半球,输,小
德甲,2016/12/19,勒  沃,"1:2
                                                                                    	 (0:1)",因戈尔,负,1.55,3.92,6.27,一球,输,大
德甲,2016/12/12,沙尔克,"0:1
                                                                                    	 (0:0)",勒  沃,胜,2.56,3.34,2.75,平手,赢,小
欧冠,2016/12/8,勒  沃,"3:0
                                                                                    	 (1:0)",摩纳哥,胜,1.67,4.08,4.9,半球/一球,赢,大
德甲,2016/12/3,勒  沃,"1:1
                                                                                    	 (0:1)",弗赖堡,平,1.5,4.35,6.41,一球/球半,输,小
德甲,2016/11/27,拜  仁,"2:1
                                                                                    	 (1:1)",勒  沃,负,1.3,5.5,9.99,球半,赢,大
欧冠,2016/11/23,莫陆军,"1:1
                                                                                    	 (0:1)",勒  沃,平,4.24,3.57,1.89,受半球,输,小
德甲,2017/5/20,霍  芬,"0:0
                                                                                    	 (0:0)",奥格斯,平,1.42,4.8,6.75,一球/球半,赢,小
德甲,2017/5/13,奥格斯,"1:1
                                                                                    	 (1:1)",多  特,平,7.15,5.09,1.39,受球半,赢,小
德甲,2017/5/6,门  兴,"1:1
                                                                                    	 (0:0)",奥格斯,平,1.76,3.72,4.57,半球/一球,赢,小
德甲,2017/4/30,奥格斯,"4:0
                                                                                    	 (2:0)",汉  堡,胜,2.46,3.22,2.95,平手/半球,赢,大
德甲,2017/4/22,法兰克,"3:1
                                                                                    	 (0:1)",奥格斯,负,1.78,3.49,4.84,半球,输,大
德甲,2017/4/15,奥格斯,"2:1
                                                                                    	 (2:0)",科  隆,胜,2.77,3.17,2.63,平手,赢,大
德甲,2017/4/9,赫  塔,"2:0
                                                                                    	 (2:0)",奥格斯,负,1.82,3.43,4.69,半球,输,小
德甲,2017/4/6,奥格斯,"2:3
                                                                                    	 (0:2)",因戈尔,负,2.6,3.08,2.88,平手,输,大
德甲,2017/4/1,拜  仁,"6:0
                                                                                    	 (2:0)",奥格斯,负,1.1,9.65,24.17,两球半,输,大
德甲,2017/3/18,奥格斯,"1:1
                                                                                    	 (1:1)",弗赖堡,平,2.32,3.19,3.21,平手/半球,输半,小
德甲,2017/3/12,沙尔克,"3:0
                                                                                    	 (3:0)",奥格斯,负,1.72,3.59,5.17,半球/一球,输,大
德甲,2017/3/4,奥格斯,"2:2
                                                                                    	 (1:1)",莱比锡,平,4.2,3.45,1.9,受半球,赢,大
德甲,2017/2/25,达姆施,"1:2
                                                                                    	 (0:0)",奥格斯,胜,2.86,3.06,2.63,平手,赢,大
德甲,2017/2/18,奥格斯,"1:3
                                                                                    	 (0:2)",勒  沃,负,3.27,3.26,2.26,受平手/半球,输,大
德甲,2017/2/11,美因茨,"2:0
                                                                                    	 (1:0)",奥格斯,负,2.07,3.24,3.81,半球,输,小
德甲,2017/2/5,奥格斯,"3:2
                                                                                    	 (1:1)",不来梅,胜,2.08,3.39,3.6,平手/半球,赢,大
德甲,2017/1/28,沃尔夫,"1:2
                                                                                    	 (1:1)",奥格斯,胜,1.87,3.45,4.4,半球/一球,赢,大
德甲,2017/1/21,奥格斯,"0:2
                                                                                    	 (0:0)",霍  芬,负,2.81,3.17,2.59,平手,输,小
球会友谊,2017/1/12,汉诺威,"1:1
                                                                                    	 (0:0)",奥格斯,平,2.65,3.1,2.54,受平手/半球,输半,小
球会友谊,2017/1/7,奥格斯,"1:1
                                                                                    	 (1:0)",阿尔克,平,NULL,NULL,NULL,NULL,走盘,小
德甲,2016/12/21,多  特,"1:1
                                                                                    	 (0:1)",奥格斯,平,1.32,5.2,9.65,球半,赢,小
德甲,2016/12/17,奥格斯,"1:0
                                                                                    	 (0:0)",门  兴,胜,2.99,3.19,2.44,受平手/半球,赢,小
德甲,2016/12/10,汉  堡,"1:0
                                                                                    	 (0:0)",奥格斯,负,2.35,3.16,3.19,平手/半球,输,小
德甲,2016/12/5,奥格斯,"1:1
                                                                                    	 (1:1)",法兰克,平,2.76,2.98,2.8,平手,走盘,小
德甲,2016/11/26,科  隆,"0:0
                                                                                    	 (0:0)",奥格斯,平,1.83,3.44,4.63,半球,赢,小
德甲,2016/11/5,因戈尔,"0:2
                                                                                    	 (0:0)",奥格斯,胜,2.32,3.13,3.3,平手/半球,赢,小
德甲,2016/10/29,奥格斯,"1:3
                                                                                    	 (0:2)",拜  仁,负,14.5,6.45,1.21,受两球,走盘,大
德国杯,2016/10/27,拜  仁,"3:1
                                                                                    	 (2:0)",奥格斯,负,1.13,7.52,17.52,两球,走盘,大
德甲,2016/10/22,弗赖堡,"2:1
                                                                                    	 (0:0)",奥格斯,负,2.14,3.26,3.53,平手/半球,输,大
德甲,2017/5/20,汉  堡,"2:1
                                                                                    	 (1:1)",沃尔夫,胜,2.45,3.38,2.84,平手,赢,大
德甲,2017/5/13,沙尔克,"1:1
                                                                                    	 (1:0)",汉  堡,平,1.9,3.72,3.83,半球,赢,小
德甲,2017/5/7,汉  堡,"0:0
                                                                                    	 (0:0)",美因茨,平,2.35,3.34,3.03,平手/半球,输半,小
德甲,2017/4/30,奥格斯,"4:0
                                                                                    	 (2:0)",汉  堡,负,2.46,3.22,2.95,平手/半球,输,大
德甲,2017/4/22,汉  堡,"1:2
                                                                                    	 (0:0)",达姆施,负,1.35,4.94,8.67,一球/球半,输,大
德甲,2017/4/16,不来梅,"2:1
                                                                                    	 (1:1)",汉  堡,负,2.11,3.51,3.36,半球,输,大
德甲,2017/4/8,汉  堡,"2:1
                                                                                    	 (1:1)",霍  芬,胜,2.93,3.39,2.38,受平手/半球,赢,大
德甲,2017/4/5,多  特,"3:0
                                                                                    	 (1:0)",汉  堡,负,1.28,5.77,9.92,球半/两球,输,大
德甲,2017/4/1,汉  堡,"2:1
                                                                                    	 (1:1)",科  隆,胜,2.2,3.25,3.43,平手/半球,赢,大
德甲,2017/3/19,法兰克,"0:0
                                                                                    	 (0:0)",汉  堡,平,2.17,3.24,3.51,平手/半球,赢半,小
德甲,2017/3/13,汉  堡,"2:1
                                                                                    	 (1:1)",门  兴,胜,2.53,3.18,2.91,平手/半球,赢,大
德甲,2017/3/6,汉  堡,"1:0
                                                                                    	 (0:0)",赫  塔,胜,2.54,3.13,2.93,平手,赢,小
德国杯,2017/3/2,汉  堡,"1:2
                                                                                    	 (0:0)",门  兴,负,2.78,3.22,2.53,平手,输,大
德甲,2017/2/25,拜  仁,"8:0
                                                                                    	 (3:0)",汉  堡,负,1.15,7.72,18.36,两球,输,大
德甲,2017/2/19,汉  堡,"2:2
                                                                                    	 (1:1)",弗赖堡,平,1.95,3.45,4.01,半球,输,大
德甲,2017/2/11,莱比锡,"0:3
                                                                                    	 (0:2)",汉  堡,胜,1.55,4.09,6.09,一球,赢,大
德国杯,2017/2/8,汉  堡,"2:0
                                                                                    	 (1:0)",科  隆,胜,2.75,3.1,2.6,平手,赢,小
德甲,2017/2/4,汉  堡,"1:0
                                                                                    	 (0:0)",勒  沃,胜,3.3,3.37,2.19,受平手/半球,赢,小
德甲,2017/1/28,因戈尔,"3:1
                                                                                    	 (2:0)",汉  堡,负,2.2,3.19,3.48,平手/半球,输,大
德甲,2017/1/21,沃尔夫,"1:0
                                                                                    	 (0:0)",汉  堡,负,1.97,3.43,3.9,半球,输,小
球会友谊,2017/1/13,河南建业,"1:2
                                                                                    	 (1:2)",汉  堡,胜,10.03,5.23,1.23,NULL,赢,大
球会友谊,2017/1/9,迪纳斯,"0:5
                                                                                    	 (0:1)",汉  堡,胜,5.85,4.52,1.42,NULL,赢,大
德甲,2016/12/21,汉  堡,"2:1
                                                                                    	 (0:0)",沙尔克,胜,3.07,3.27,2.35,受平手/半球,赢,大
德甲,2016/12/17,美因茨,"3:1
                                                                                    	 (1:1)",汉  堡,负,1.93,3.56,3.87,半球,输,大
德甲,2016/12/10,汉  堡,"1:0
                                                                                    	 (0:0)",奥格斯,胜,2.35,3.16,3.19,平手/半球,赢,小
德甲,2016/12/4,达姆施,"0:2
                                                                                    	 (0:1)",汉  堡,胜,2.77,3.16,2.65,平手,赢,小
德甲,2016/11/26,汉  堡,"2:2
                                                                                    	 (2:2)",不来梅,平,2.34,3.43,2.97,平手/半球,输半,大
德甲,2016/11/20,霍  芬,"2:2
                                                                                    	 (1:1)",汉  堡,平,1.5,4.38,6.27,一球/球半,赢,大
德甲,2016/11/5,汉  堡,"2:5
                                                                                    	 (0:3)",多  特,负,6.57,4.46,1.47,受一球/球半,输,大
德甲,2016/10/31,科  隆,"3:0
                                                                                    	 (0:0)",汉  堡,负,1.61,3.94,5.61,半球/一球,输,大
